Award Date,Quarter and Fiscal Year,Commodity Category,Contract Description,WBG Organization,Selection Number,Supplier,Supplier Country,Supplier Country Code,Contract Award Amount,Fund Source,VPU description
07/09/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,External Audit Services for WBG,IFC,17-0245,Deloitte & Touche LLP,USA,US,,NA,IFC VP Risk & Financial Sustainability
09/28/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Cameroon Support to the Public Private Partnership (PPP) Program,IBRD,1253719,CPCS Transcom Limited,Canada,CA,286200.00,Trust Fund,Infrastructure Practice Group
09/01/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Secretariat Services for Phase II of AgResults Initiative,IBRD,1252629,Deloitte Consulting LLP,USA,US,6402696.72,NA,"Development Finance, VP"
09/28/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,"Kenya Technical Assistance to County Health Systems: Planning, Budgeting, Monitoring and Reporting",IBRD,1257146,Mannion Daniels Africa Limited,Kenya,KE,835176.01,Trust Fund,"VP, HD Practice Group"
07/09/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Papua New Guinea Lighting Consumer Awareness Program,IFC,1251782,Global Media Consultant & Event Co,Papua New Guinea,PG,589931.10,Trust Fund,IFC Chief Operating Officer
09/11/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,"Egypt, Arab Republic of Central Agency for Public Mobilization and Statistics (CAPMAS)",IBRD,1258635,Central Agency for Public Mobilization and Statistics,Egypt,EG,375784.95,Trust Fund,"VP, EFI Practice Group"
09/01/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Solomon Islands Honiara Flood Risk Management Study and Plan,IBRD,1213387,Tonkin & Taylor International Ltd,New Zealand,NZ,431478.00,Trust Fund,"VP, SD Practice Group"
07/01/2018 12:00:00 AM,Q1 - FY19,PRINTING,Eastman Kodak NexPress Service Plan,IBRD,19-0017,Eastman Kodak Co.,USA,US,,WBG,Global Corporate Solutions
08/01/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Indonesia Development of Roadmap Towards Sustainable Development Goals for Water Supply,IBRD,1256420,PT Haskoning Indonesia,Indonesia,ID,346000.00,Trust Fund,"VP, SD Practice Group"
05/09/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Innovate4Climate 2018,IFC,18-0428,FIRA Barcelona International Exhibitions,Spain,ES,255252.48,Trust Fund,"VP, SD Practice Group"
08/22/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Brazil Engineering Consultancy for Roads Project,IFC,1249558,Egis Engenharia e Consultoria Ltda,Brazil,BR,773647.65,Trust Fund,IFC Chief Operating Officer
07/01/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Domestic Violence Legal Assistance,IBRD,SS,Domestic Violence Legal Empowerment,USA,US,800000.00,WBG,Managing Director&WBG Chief Administrative Officer
09/25/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Ethiopia Consultancy Service for Evaluation of Infrastructures and Performance Assessment of Small Scale Irrigation Schemes Constructed During the First Phase of Agricultural Growth Program,IBRD,1257939,Generation Integrated Rural Development,Ethiopia,ET,329912.00,Trust Fund,"VP, SD Practice Group"
08/17/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Tanzania Living Standards Measurement Survey  Integrated Surveys on Agriculture 2018/2019 National Panel Survey Extended Panel w/ Sex-Disaggregated Data,IBRD,1258229,National Bureau of Statistics,Tanzania,TZ,441030.00,Trust Fund,Development Economics and Chief Economist
09/27/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Implementing Performance Standard 6 and Biodiversity Risk Management,IFC,1257683,Hardner & Gullison Associates LLC,USA,US,310000.00,WBG,IFC VP Legal & ESG Risk and Sustainability
08/23/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Nepal Capacity Needs Assessment for Federalism,IBRD,1256522,Georgia State University Research,USA,US,297502.83,WBG,"VP, EFI Practice Group"
09/14/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,"Burundi, Zambia, Tanzania, Congo, Democratic Republic of Feasibility Study for the Establishment of a Search and Rescue Service on Lake Tanganyika",IBRD,1256019,HPC Hamburg Port Consulting Gmbh,Germany,DE,272014.00,Trust Fund,Infrastructure Practice Group
08/05/2018 12:00:00 AM,Q1 - FY19,CONTRACT CONSULTANTS,Egypt Extended Support to Realization Office,IBRD,1255889,Mckinsey & Company LME Ltd,United Arab Emirates,AE,572500.00,Trust Fund,Infrastructure Practice Group
12/30/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Guinea Power Public-Private Partnership - Consulting Services,IFC,1124345,NODALIS CONSEIL,France,FR,589276.76,TRUST FUND,"IFC VP Sub-Saharan Africa, LAC, and W. Europe"
10/29/2013 12:00:00 AM,Q2 - FY14,EXTRNL/CATERED EVENT,Accommodation for Africa Forum on Managing Reserves,IBRD,14-0115,Georgetown Suites,USA,US,401275.00,WBG,Treasury
12/30/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consulting Services - Consultive Group to Assist the Poor Smallholder Financial Diaries Project,IBRD,1122421,Bankable Frontier Associates,USA,US,1183690.00,TRUST FUND,Financial & Private Sector Development-WB
12/24/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Technical Assistance for Improving Solid Waste Management in Uttar Pradesh, India",IBRD,1116839,COWI Consulting Engineers and Planners,Denmark,DK,626000.00,TRUST FUND,South Asia
12/24/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Strengthening Tax Administration in Jharkhand,IBRD,1129160,Ernst & Young LLP,India,IN,312122.34,TRUST FUND,South Asia
12/23/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Spatial Analysis to Define Potential Mineral Resource Corridors in Nigeria,IBRD,1115497,RMSI Private Limited,India,IN,699300.00,WBG,Sustainable Development Network
12/20/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Guyana Financial Institution Risk Management Project,IFC,1113826,Financial Access,Netherlands,NL,280000.00,TRUST FUND,"GP- CCSA, Vice Presidency-IFC"
12/20/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"WASTE MANAGEMENT SECTOR ASSESSMENT, SECTOR DEVELOPMENT PLAN AND PRE-FEASIBILITY STUDIES",IBRD,1122589,EPEM S.A.,Greece,GR,259940.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/19/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,INDEPENDENT EVALUATION OF Internationas Finance Corporation's Middle East and North Africa ADVISORY SERVICES PROGRAM,IFC,1103946,Enclude BV,Netherlands,NL,268519.00,TRUST FUND,"IFC VP East. & South. Europe, Central Asia & MENA"
12/19/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Measuring household labor in small holder farming (Economic Development Initiatives),IBRD,1128458,Economic Development Initiatives,Tanzania,TZ,308585.00,TRUST FUND,Development Economics and Chief Economist
12/19/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Assessing and comparing the impact of the International Finance Corporation's Investment Climate reform programs in Burkina Faso, Liberia, Rwanda, Sierra Leone and South Sudan",IFC,1121668,Economisti Association,Italy,IT,289000.00,TRUST FUND,"Sub-Saharan Africa and LAC, VP"
12/18/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Introduction of Liquefied Natural Gas  in Central America,IBRD,1099002,ECONOMIC CONSULTING ASSOCIATES LTD.,United Kingdom,GB,348950.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/17/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Feasibility Study of Energy Efficiency and Implementation Measures in Public Buildings in Kosovo,IBRD,1114568,iC Clean Energy Solutions,Austria,AT,844264.00,TRUST FUND,Europe and Central Asia
12/16/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Developing local industries connected to Tanzania's natural gas discoveries Module II: Gap Assessment & Supplier Development Program,IBRD,1127726,"Development Alternatives, Inc.",USA,US,343115.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/16/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Turn Down the Heat Phase III: Regional Analysis (Middle East, Latin America, Caribbean, Europe and Central Asia),  The Case for Climate Resilience.",IBRD,1127939,Potsdam Institute for Climate,Germany,DE,671760.00,TRUST FUND,Climate Change Group
12/16/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consultancy Service: Rural Sanitation Demand Creation and Supply Chain Development for Hoa Binh province,IBRD,1105444,SNV Netherlands Development Organisation,Netherlands,NL,416980.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/13/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consultant - Lighting Asia India program,IFC,1090141,Dalberg Development Advisors Pvt,India,IN,262875.00,TRUST FUND,IFC VP Asia Pacific
12/12/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Communications Support for Natural Capital Accounting Implementation with the Wealth Accounting and Valuation of Ecosystem Services (WAVES) Partnership,IBRD,1118297,IIED,United Kingdom,GB,428337.60,TRUST FUND,"GP- CCSA, Vice Presidency"
12/12/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,SUPPORT CLIMATE IMPACTS ANALYSIS AND RISK MANAGEMENT OPTIONS- PHASE 2,IBRD,1127735,"ICF Incorporated, LLC",USA,US,470487.22,WBG,WBG Climate Change VP
12/09/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Capacity Building of State Power Utilities in Jharkhand India,IBRD,1117182,Deloitte Touche Tohmatsu India,India,IN,321484.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Open Source Tools for Transport Planning: Level of Service and Accessibility Indicators,IBRD,1119664,Azavea Inc.,USA,US,260220.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Legal Consulting Services - Bucharest District Heating Public-Private Partnership,IFC,1112457,Parsons Brinckerhoff Limited,United Kingdom,GB,779365.00,TRUST FUND,"IFC VP East & South Europe, Central Asia & MENA"
12/03/2013 12:00:00 AM,Q2 - FY14,TRAINING,"Extractive Industries Transparency Initiative Training - Sustainable Energy - Oil, Gas and Mining Unit",IBRD,14-0264,Extractive Industries Transparency,Norway,NO,297190.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/03/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,The Impact of War on Somali Men - Learning on Gender and Conflict in Africa (LOGICA),IBRD,1127047,Rift Valley Research Ltd,United Kingdom,GB,354642.00,TRUST FUND,"GP- CCSA, Vice Presidency"
12/03/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Consultancy to implement the data collection process required to measure the impacts, in 2013, of an early childhood intervention that was implemented in Colombia in 2010-2011",IBRD,1119825,Sistemas Especilizados de Informacion s. a.,Colombia,CO,365665.31,TRUST FUND,Development Economics and Chief Economist
11/27/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Promoting Regional Trade in Meat and Livestock-related products in Economic Community of West Africa States (ECOWAS) ,IBRD,1126805,Iram development,France,FR,334180.00,TRUST FUND,"GP- CCSA, Vice Presidency"
11/26/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Iraq-Reform Roadmap-Electricity Distribution Sector-Ministry of Electricity of Republic of Iraq (Public-Private Infrastructure Advisory Facility),IBRD,1104497,CPCS Transcom International Limited,Barbados,BB,421512.00,TRUST FUND,"GP- CCSA, Vice Presidency"
11/26/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consulting Services - Malaysia Analyzing Transport Sector Performance and Identifying Policies and Interventions for Improvements,IBRD,1111814,WS Atkins Malaysia Sdn Bhd,Malaysia,MY,899795.00,WBG,East Asia and Pacific
11/25/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Cote d'Ivoire Agribusiness Investment Promotion,IBRD,1117643,SOFIES,Switzerland,CH,308514.00,TRUST FUND,"GP- CCSA, Vice Presidency"
11/21/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consulting Services - Support for the Operation of Iraq Asset Valuation Unit (Ministry of Finance),IBRD,1097710,McKinsey & Company,USA,US,800000.00,TRUST FUND,Middle East and North Africa
11/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consultancy Service: Rural Sanitation Implementation Capacity Building,IBRD,1111338,The North Vietnam College of Agriculture and Rural Development,Vietnam,VN,292644.61,TRUST FUND,"GP- CCSA, Vice Presidency"
11/14/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Union Economique et Monétaire Ouest Africaine (UEMOA) Trade Information Web portal,IBRD,1119057,Nathan Associates Inc.,USA,US,285248.00,TRUST FUND,"GP- CCSA, Vice Presidency"
11/11/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Dominican Financial Institution Risk Management and Strategic Planning,IFC,1103689,PricewaterhouseCoopers,Argentina,AR,432043.00,TRUST FUND,"GP- CCSA, Vice Presidency-IFC"
11/11/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Review of the 2000 Electricity law, development of secondary regulations and development of model concession and Power Purchase Agreements",IFC,1119228,Heenan Blaikie Aarpi,France,FR,306510.00,TRUST FUND,"GP- CCSA, Vice Presidency-IFC"
11/11/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,An Assessment of Opportunities and Challenges to Increased Regional Energy Cooperation in South Asia,IBRD,1100525,AF-Mercados Energy Markets International SA,Spain,ES,279035.00,TRUST FUND,Development Economics and Chief Economist
11/08/2013 12:00:00 AM,Q2 - FY14,EXTRNL/CATERED EVENT,FOREST CARBON FACILITY PARTNERSHIP MEETING,IBRD,14-0215,Starling Geneva Hotel and Conference Center,Switzerland,CH,260109.35,TRUST FUND,WBG Climate Change VP
11/06/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Development of Probabilistic Seismic and Flood Risk Assessment in collaboration with the Pakistan National Working Group on Risk Assessment,IBRD,1115580,Network of Disaster Management Practitioners Pvt Ltd,Pakistan,PK,399275.42,TRUST FUND,"GP- CCSA, Vice Presidency"
11/06/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Training of Community Resource Persons on integrating health in community development programs,IBRD,1124882,Institute for Health and Development,Sri Lanka,LK,365112.79,TRUST FUND,"GP- CCSA, Vice Presidency"
11/05/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,International Consultant Firm for Vietnam Building Energy Efficiency Code Demonstration and Capacity building,IFC,1117606,IEN Consultants,Denmark,DK,255449.00,TRUST FUND,IFC VP Asia Pacific
11/05/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Evaluation of Global Partnership Facility,IBRD,1110475,"Development Alternatives, Inc.",USA,US,673453.25,TRUST FUND,Poverty Reduction & Economic Management Network
11/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Human Resources (HRSRC) ASSESSMENT CENTER,IBRD,14-0128,SHL US Inc.,USA,US,395460.00,WBG,WBG HR Vice President
11/04/2013 12:00:00 AM,Q2 - FY14,SOFTWARE,"SOFTWARE APPLICATION, GOVERNMENT OF LIBYA",IBRD,14-0208,Bisan Systems Ltd.,WEST BANK& GAZA,GZ,302650.00,WBG,"GP- CCSA, Vice Presidency"
11/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Myanmar: Preparation of a National Electrification Roadmap and Investment Financing Prospectus,IBRD,1116060,Castalia Ltd,New Zealand,NZ,366889.60,TRUST FUND,"GP- CCSA, Vice Presidency"
11/01/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Legal Consulting Services - Bucharest District Heating Public-Private Partnership,IFC,1112426,CMS Cameron McKenna LLP,United Kingdom,GB,590820.00,TRUST FUND,IFC Business Advisory Services
10/31/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Consulting Services - Renewable Energy Mapping for Small Hydropower,  Tanzania, Africa",IBRD,1114755,SHER Ingénieurs-Conseils S.A.,Belgium,BE,524010.00,TRUST FUND,Africa
10/29/2013 12:00:00 AM,Q2 - FY14,SOFTWARE,Treasury Management System,IBRD,13-0408,SunGard AvantGard LLC,USA,US,,WBG,Information and Technology Solutions
10/28/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consulting Services - Preparation of Myanmar National Electrification Least Cost Geospatial Planning,IBRD,1116062,The Trustees of Columbia University,USA,US,754151.00,TRUST FUND,East Asia and Pacific
10/28/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Consulting Services- Cambodia National Single Window Preparation Technical Assistance,IBRD,1112278,Project Management Limited,Ireland,IE,681470.00,TRUST FUND,East Asia and Pacific
10/23/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Study to support - Directorate of Operation and Maintenance (DEM) to select and implement a PPP model for the management of 13 Multi-villages rural water supply schemes in the River region of Senegal (12 Water Purification Unit (UPT) + Faboli),IBRD,1101927,BURGEAP,France,FR,263401.65,TRUST FUND,"GP- CCSA, Vice Presidency"
10/23/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,AMEC Environment and Infrastructure,United Kingdom,UK,,TRUST FUND,Financial & Private Sector Development
10/23/2013 12:00:00 AM,Q2 - FY14,AUDIO VISUALS,Audio Visual Conference Equipment Upgrade (room I8-400),IBRD,14-0143,AV3 Inc.,USA,US,326282.76,WBG,General Services
10/21/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Analysis of Provider Payment Reforms in Advancing China's Health (APPROACH): An Evaluation of County Hospitals,IBRD,1117431,"The Chancellor, Masters & Scholars",United Kingdom,GB,1213927.00,TRUST FUND,East Asia and Pacific
10/21/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Sweden Enterprise Survey,IBRD,1115784,Norstat Sverige AB,Sweden,SE,411855.57,WBG,Development Economics and Chief Economist
10/17/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Men, Peace and Security Symposium and Training",IBRD,1121913,SIPRI North America,USA,US,292000.00,TRUST FUND,"GP- CCSA, Vice Presidency"
10/16/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,International Finance Corporation Ventures,IFC,1116058,Bella Research Group,USA,US,286600.00,TRUST FUND,IFC Business Advisory Services
10/16/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,"Feasibility Study for Wind-Diesel Complexes, Kamchatski Krai",IFC,1115078,"LLC ""Activity""",Russian Federation,RU,535816.00,TRUST FUND,"IFC VP East & South Europe, Central Asia & MENA"
10/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,Frontier Economics Pty Ltd,Australia,AU,,WBG,"GP- CCSA, Vice Presidency"
10/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,Lear SAS,Italy,IT,,WBG,"GP- CCSA, Vice Presidency"
10/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Independent Assessment of Japan Social Development Fund,IBRD,14-0029,Universalia Management Group Ltd,Canada,CA,457200.00,TRUST FUND,"Development Finance, VP"
10/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,Nathan Associates Inc.,USA,US,,WBG,"GP- CCSA, Vice Presidency"
10/15/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,FTI Consulting Inc.,USA,US,,WBG,"GP- CCSA, Vice Presidency"
10/11/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,MOTORIZATION AND URBAN TRANSPORT IN EAST ASIA: Motorcycle and Motor Scooter Ownership and Use in Hanoi,IBRD,1105283,Economic and Policy Services Pty Ltd,Australia,AU,284975.00,TRUST FUND,"GP- CCSA, Vice Presidency"
10/10/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,Menns SPRL,Belgium,BE,,WBG,"GP- CCSA, Vice Presidency"
10/10/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Ghana power distribution private sector participation (PSP) - technical consultant,IFC,1117868,AF-Mercados Energy Markets International SA,Spain,ES,383600.00,TRUST FUND,"GP- CCSA, Vice Presidency-IFC"
10/10/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Assessment and legal and economic advisory on Competition Policy Assignment for the World Bank Groups Competition Policy Thematic Group,IFC,1097001,Macmillan Keck,USA,US,,WBG,"GP- CCSA, Vice Presidency"
10/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Phase 1: Global Capacity Building Program on the Negotiation of Mine Development Agreements,IBRD,1121473,Sustainable Development Strategies,USA,US,497699.71,TRUST FUND,"GP- CCSA, Vice Presidency"
10/04/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Strengthening Climate Resilience in Lesotho: Early Warning and Information Management Systems and Capacity,IBRD,1118994,World Food Programme Lesotho,Lesotho,LS,490000.00,TRUST FUND,"GP- CCSA, Vice Presidency"
10/02/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,COWI Consulting Engineers and Planners,Denmark,DK,,TRUST FUND,Financial & Private Sector Development
10/02/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,PriceWaterhouseCoopers Limited,India,IN,,TRUST FUND,Financial & Private Sector Development
10/02/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,Ove Arup & Partners International,United Kingdom,UK,,TRUST FUND,Financial & Private Sector Development
10/02/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,McKinsey & Company,USA,US,,TRUST FUND,Financial & Private Sector Development
10/02/2013 12:00:00 AM,Q2 - FY14,CONTRACT CONSULTANTS,Framework Agreements for Hydro-economic Analysis,IFC,1090067,Deloitte Consulting LLP,USA,US,,TRUST FUND,Financial & Private Sector Development
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,UA: TA reform of the natural gas sector,IBRD,1159930,Grant Thornton Limited Liability Company,Ukraine,UA,561786.05,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,China: Upstream Analytical Work,IBRD,1167155,National Center for Climate Change,China,CN,300000.00,Trust Fund,WBG Climate Change VP - IBRD
12/31/2014 12:00:00 AM,Q2 - FY15,CONSULTING,South Asia Economic Conclave,IBRD,1168200,Confederation of Indian Industry CII Godrej Green Business Centre,India,IN,316268.00,WBG,South Asia
12/31/2014 12:00:00 AM,Q2 - FY15,CONSULTING,SAO PAULO INTERCITY TRAINS PROJECT,IBRD,1168562,SYSTRA,France,FR,349900.00,WBG,"GP- CCSA, Vice Presidency-IBRD"
12/30/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Agribusiness Country Diagnostic,IFC,1160712,Cambridge Economic Policy Assoc.,United Kingdom,GB,586800.00,Trust Fund,"Office of the EVP and CEO, IFC"
12/23/2014 12:00:00 AM,Q2 - FY15,CONSULTING,TA- JOD Emergency Services & Social Resi,IBRD,1158333,ACTED,France,FR,250000.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/23/2014 12:00:00 AM,Q2 - FY15,SOFTWARE,IFB _  ESB Platform,IBRD,15-0216,Govplace,USA,US,,WBG,Information and Technology Solutions
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,"Yemen Tech., Social and Env. Safeguards",IBRD,1158810,Management Systems International,USA,US,499994.00,WBG,"GP- CCSA, Vice Presidency-IBRD"
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Legal Consultant-Bgd SW Treatment&Dispos,IFC,1159612,Hogan Lovells International LLP,United Kingdom,GB,547335.44,Trust Fund,"Office of the EVP and CEO, IFC"
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Customer Empowerment Scoping Research,IBRD,1160904,Enclude Ltd,USA,US,429956.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Survey Firm for Kenya Patient Safety IE,IBRD,1164185,Innovations for Poverty Action,USA,US,388784.65,Trust Fund,Development Economics and Chief Economist
12/22/2014 12:00:00 AM,Q2 - FY15,CONSULTING,(OveArup)KRYGYZ DEV OF SEISMIC RISK INFO,IBRD,1152423,Ove Arup & Partners International,United Kingdom,GB,799895.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/18/2014 12:00:00 AM,Q2 - FY15,CONSULTING,BD - Impact Evaluation Surveys (ROSC II),IBRD,1157371,Mitra and Associates,Bangladesh,BD,360128.04,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/18/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Above The Line Activities for India,IFC,1166279,Dmas Advertising and Communications,India,IN,378488.78,Trust Fund,"Office of the EVP and CEO, IFC"
12/11/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Support for design and conception of ICT,IFC,1139603,AMC Ernst & Young,Tunisia,TN,338819.18,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/11/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Kenya Urban Utility Comm. Financing,IBRD,1156361,Ernst & Young LLP,Kenya,KE,366110.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/10/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Collection and Upload of Data,IFC,1154462,Project Management Limited,Ireland,IE,492100.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/09/2014 12:00:00 AM,Q2 - FY15,CONSULTING,CGAP Applied Product Innovation,IBRD,1160046,"Dalberg Consulting-U.S., LLC",USA,US,287400.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/08/2014 12:00:00 AM,Q2 - FY15,CONSULTING,CGAP Applied Product Innovation,IBRD,1159906,IDEO.org,USA,US,255105.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/08/2014 12:00:00 AM,Q2 - FY15,CONSULTING,CONTENT DEVELOPMENT AND LEARNING,IBRD,1143938,IMC Worldwide Ltd,United Kingdom,GB,929520.94,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
12/04/2014 12:00:00 AM,Q2 - FY15,CONSULTING,Development of an East Africa,IBRD,1166364,Ernst & Young LLP,India,IN,344500.00,Trust Fund,"GP- CCSA, Vice Presidency-IBRD"
